Course_Name,Rating,No_of_Ratings,No_of_Enrollment,Duration,Institution,Subject,Level,Language,Price
 Self-Assessment – Developing Your Strengths,4.4,137,27697,3,FullbridgeX,Business & Management,Introductory,English,
 Fundamentals of TinyML,4.5,55,63172,5,HarvardX,Data Analysis & Statistics,Introductory,English,25070
 Introduction to Human Resources (HR) leadership and HR management strategies,4.6,114,15857,2,StellenboschX,Business & Management,Intermediate,English,12493
" Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",4.7,73,137331,10,HarvardX,Medicine,Introductory,English,18362
 Back-end Application Development with Node.js and Express,4.2,79,37233,3,IBM,Computer Science,Intermediate,English,4108
 Fundamentals of Psychology,4.6,72,34780,8,DoaneX,Social Sciences,Introductory,English,9978
 Digital Marketing Strategy,4.5,29,11580,6,IIMBx,Business & Management,Intermediate,English,15876
 Measuring Sustainable Development,4.3,74,22886,5,SDGAcademyX,Data Analysis & Statistics,Intermediate,English,
 AWS Cloud Technical Essentials,4.5,37,24364,4,AWS,Computer Science,Introductory,English,15847
 Business Strategy from Wharton: Competitive Advantage,4.7,121,72406,6,Wharton,Business & Management,Intermediate,English,16685
 NoSQL Database Basics,4.4,63,8947,5,IBM,Computer Science,Introductory,English,8301
" Religion, Conflict and Peace",4.8,81,125483,8,HarvardX,Humanities,Introductory,English,12493
 Medical Terminology,4.5,51,77601,8,DoaneX,Biology & Life Sciences,Introductory,English,9978
" Algorithms: Design and Analysis, Part 1",4.7,13,78450,6,StanfordOnline,Computer Science,Intermediate,English,15876
 Electrochemistry,4.4,13,16109,10,HarvardX,Chemistry,Introductory,English,20878
 Introduction to Microprocessors,4.4,105,7013,5,ArmEducationX,Computer Science,Introductory,English,4108
 Innovating in Health Care,4.5,55,104313,9,HarvardX,Business & Management,Intermediate,English,20878
 A Complete Guide to Game Design,4.5,75,7759,4,HP,Computer Science,Introductory,English,420
 Teamwork & Collaboration,4.5,41,18143,3,RITx,Communication,Introductory,English,16685
 Data Science: Productivity Tools,4.3,32,103193,8,HarvardX,Data Analysis & Statistics,Introductory,English,12493
" Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",4.8,42,115547,8,HarvardX,Medicine,Introductory,English,25070
 High-Dimensional Data Analysis,4.4,11,125111,4,HarvardX,Data Analysis & Statistics,Advanced,English,18362
 Christianity Through Its Scriptures,4.6,46,162067,4,HarvardX,Humanities,Introductory,English,12516
 Quantitative and Qualitative Research for Beginners,4.5,51,23594,8,NUS,Social Sciences,Introductory,English,8301
 Mandarin Chinese Level 1,4.6,14,110461,6,MandarinX,Language,Introductory,English,15847
 Comunicación y Pronunciación en Inglés,4.7,9,44576,4,AnahuacX,Language,Introductory,Spanish,3270
 Quantitative Methods for Biology,4.7,15,64746,10,HarvardX,Computer Science,Introductory,English,18396
 Introducción a la Ingeniería del Software,4.6,13,47231,5,UAMx,Computer Science,Introductory,Spanish,2432
 Public Speaking,4.5,32,51512,3,RITx,Communication,Introductory,English,16685
 Masterpieces of World Literature,4.7,44,152374,12,HarvardX,Literature,Introductory,English,25070
 Introducción a Power BI para los negocios,4.2,39,32016,4,UPValenciaX,Data Analysis & Statistics,Introductory,Spanish,3270
 HTML5 Apps and Games,4.3,86,98892,4,W3Cx,Computer Science,Advanced,English,16685
 Data Science: Linear Regression,4.1,23,111330,8,HarvardX,Data Analysis & Statistics,Introductory,English,12516
 Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,4.7,56,152177,10,HarvardX,Education & Teacher Training,Intermediate,English,
 Python: aprender a programar,4.2,34,100216,8,UPValenciaX,Computer Science,Introductory,Spanish,3773
 Arabic for non-Arabic Speakers,4.3,87,39538,5,QUx,Language,Introductory,English,3270
 Improving Your Business Through a Culture of Health,4.8,16,88224,9,HarvardX,Business & Management,Introductory,English,18396
 The Craft of Storytelling,4.2,7,13415,4,AlaskaX,Communication,Introductory,English,9978
 Operations Management,4.4,67,174428,7,IIMBx,Business & Management,Intermediate,English,12577
 Applied Scrum for Agile Project Management,4.4,139,110981,4,UMD,Engineering,Advanced,English,20878
 Empathy and Emotional Intelligence at Work,4.5,56,89164,4,BerkeleyX,Business & Management,Introductory,English,16716
 IoT Sensors and Devices,4.2,18,48389,5,CurtinX,Computer Science,Introductory,English,16685
 Business Foundations,4.7,24,102246,6,UBCx,Business & Management,Introductory,English,12600
 Fundamentos de anatomía y técnica quirúrgica básica,4.6,7,48152,4,URosarioX,Medicine,Introductory,Spanish,1593
 Corporate Finance,4.6,31,92107,5,IIMBx,Business & Management,Intermediate,English,12577
 Calculus I: From Functions to Differential Equations,4.5,16,10843,6,DelftX,Math,Intermediate,English,12493
